利用日,利用店名・商品名,利用者,支払方法,利用金額,支払手数料,支払総額,1月支払金額,2月繰越残高,新規サイン,支払月
2024/3/30,ﾂﾀﾔｼﾖﾃﾝ ﾜｶﾔﾏｼﾐﾝﾄ,家族,1回払い,1980,0,1980,1980,0,*,2024年4月
2024/3/28,ｱﾏｿﾞﾝ,家族,1回払い,17654,0,17654,17654,0,*,2024年4月
2024/3/28,ｱﾂﾌﾟﾙﾄﾞﾂﾄｺﾑ,本人,1回払い,980,0,980,980,0,*,2024年4月
2024/3/26,ﾏﾂｹﾞﾝ ﾓﾄﾃﾞﾗ,家族,1回払い,3823,0,3823,3823,0,*,2024年4月
2024/3/24,ﾅﾗｹﾝｺｳﾗﾝﾄﾞﾌﾟﾗｻﾞﾎ,家族,1回払い,5190,0,5190,5190,0,*,2024年4月
2024/3/23,ﾋﾗﾏﾂｼﾞﾖｳﾄｳﾃﾝ,家族,1回払い,4934,0,4934,4934,0,*,2024年4月
2024/3/22,NINTENDO CD117617758利用国JPN,本人,1回払い,306,0,306,306,0,*,2024年4月
,現地利用額　　　　　　　３０６．０００変換レート　　　１．０００円,,,,,,,,,2024年4月
2024/3/19,ﾛﾂｸｽﾀ-ﾌｱ-ﾑｽﾞ,家族,1回払い,1628,0,1628,1628,0,*,2024年4月
2024/3/19,マツキヨキーノ和歌山店,家族,1回払い,2420,0,2420,2420,0,*,2024年4月
2024/3/16,大阪ガス　　料金,本人,1回払い,7535,0,7535,7535,0,*,2024年4月
2024/3/15,ﾓｸﾞﾓ,家族,1回払い,1980,0,1980,1980,0,*,2024年4月
2024/3/14,ﾛﾂｸｽﾀ-ﾌｱ-ﾑｽﾞ,家族,1回払い,1314,0,1314,1314,0,*,2024年4月
2024/3/13,ｱﾂﾌﾟﾙﾄﾞﾂﾄｺﾑ,本人,1回払い,1680,0,1680,1680,0,*,2024年4月
2024/3/13,ﾜｶﾔﾏｹﾝﾘﾂｲｶﾀﾞｲｶﾞｸ,家族,1回払い,220,0,220,220,0,*,2024年4月
2024/3/12,大東建託パートナーズ,家族,1回払い,14911,0,14911,14911,0,*,2024年4月
2024/3/12,大東建託パートナーズ,家族,1回払い,90753,0,90753,90753,0,*,2024年4月
2024/3/12,ｲｵﾝﾘﾃ-ﾙ ｴｽｴﾑ,家族,1回払い,5151,0,5151,5151,0,*,2024年4月
2024/3/10,ﾏﾂｹﾞﾝ ﾓﾄﾃﾞﾗ,家族,1回払い,2413,0,2413,2413,0,*,2024年4月
2024/3/10,ｻﾝﾄﾞﾗﾂｸﾞ,家族,1回払い,1265,0,1265,1265,0,*,2024年4月
2024/3/7,楽天ブロードバンド,本人,1回払い,4241,0,4241,4241,0,*,2024年4月
2024/3/6,NINTENDO CA116653408利用国JPN,本人,1回払い,180,0,180,180,0,*,2024年4月
,現地利用額　　　　　　　１８０．０００変換レート　　　１．０００円,,,,,,,,,2024年4月
2024/3/4,ﾜｶﾔﾏｹﾝﾘﾂｲｶﾀﾞｲｶﾞｸ,家族,1回払い,200,0,200,200,0,*,2024年4月
2024/3/3,ｱﾏｿﾞﾝ,家族,1回払い,784,0,784,784,0,*,2024年4月
2024/3/1,ｶﾅｵｼｶｲｲﾝ,家族,1回払い,30800,0,30800,30800,0,*,2024年4月
2024/2/25,ＥＴＣカード売上,ETC,1回払い,620,0,620,620,0,*,2024年4月
,ｲｽﾞﾐｻﾉ     ﾜｶﾔﾏｷﾀ,,,,,,,,,2024年4月
2024/2/25,ＥＴＣカード売上,ETC,1回払い,590,0,590,590,0,*,2024年4月
,ｶﾝｸｳﾚﾝﾗｸｷﾖ ｶﾝｸｳﾚﾝﾗｸｷ,,,,,,,,,2024年4月
2024/2/25,ＥＴＣカード売上,ETC,1回払い,100,0,100,100,0,*,2024年4月
,ｶﾝｸｳｷﾖｳｾﾞｲ ｶﾝｸｳｷﾖｳｾﾞ,,,,,,,,,2024年4月
2024/4/30,ｱﾏｿﾞﾝ,本人,1回払い,3005,0,3005,3005,0,*,2024年5月
2024/4/29,ﾜｶﾔﾏｼﾐﾝｾｲｷﾖｳ ﾃﾝﾎ,家族,1回払い,6845,0,6845,6845,0,*,2024年5月
2024/4/27,ｱﾏｿﾞﾝ ﾏ-ｹﾂﾄ ﾌﾟﾚｲ,本人,1回払い,684,0,684,684,0,*,2024年5月
2024/4/25,ﾜｶﾔﾏｹﾝﾘﾂｲｶﾀﾞｲｶﾞｸ,家族,1回払い,220,0,220,220,0,*,2024年5月
2024/4/22,ｱﾏｿﾞﾝ ﾏ-ｹﾂﾄ ﾌﾟﾚｲ,本人,1回払い,5280,0,5280,5280,0,*,2024年5月
2024/4/21,NINTENDO CD119365996利用国JPN,本人,1回払い,306,0,306,306,0,*,2024年5月
,現地利用額　　　　　　　３０６．０００変換レート　　　１．０００円,,,,,,,,,2024年5月
2024/4/20,ﾜｶﾔﾏﾊﾞﾀ-ｻﾝﾄﾞ ｲﾁﾏ,家族,1回払い,530,0,530,530,0,*,2024年5月
2024/4/20,ﾀﾞｲｿ-,家族,1回払い,660,0,660,660,0,*,2024年5月
2024/4/19,ﾜｶﾔﾏｹﾝﾘﾂｲｶﾀﾞｲｶﾞｸ,家族,1回払い,4400,0,4400,4400,0,*,2024年5月
2024/4/16,大阪ガス　　料金,本人,1回払い,5942,0,5942,5942,0,*,2024年5月
2024/4/15,ﾏﾂｹﾞﾝ ﾓﾄﾃﾞﾗ,家族,1回払い,6280,0,6280,6280,0,*,2024年5月
2024/4/14,クレールオンラインショップ,本人,1回払い,5936,0,5936,5936,0,*,2024年5月
2024/4/13,ｱﾂﾌﾟﾙﾄﾞﾂﾄｺﾑ,本人,1回払い,1680,0,1680,1680,0,*,2024年5月
